Epochs,Loss
1,2.2792
2,2.2877
3,2.2785
4,2.2687
5,2.2731
6,2.2459
7,2.2491
8,2.2485
9,2.2075
10,2.2117
11,2.1639
12,2.1724
13,2.123
14,2.1262
15,2.1112
16,2.091
17,2.075
18,2.0691
19,2.0163
20,2.0169
21,2.0144
22,1.9643
23,1.9525
24,1.9243
25,1.9195
26,1.9232
27,1.8681
28,1.8416
29,1.8523
30,1.8789
31,1.8671
32,1.83
33,1.8057
34,1.8164
35,1.8084
36,1.7789
37,1.8331
38,1.7656
39,1.7616
40,1.7558
41,1.7665
42,1.7822
43,1.7314
44,1.753
45,1.7346
46,1.7558
47,1.7586
48,1.7459
49,1.7465
50,1.7399
51,1.7141
52,1.7022
53,1.698
54,1.7252
55,1.7088
56,1.6991
57,1.6918
58,1.7092
59,1.6751
60,1.6557
61,1.6649
62,1.6942
63,1.6707
64,1.6644
65,1.6588
66,1.6647
67,1.7017
68,1.6521
69,1.6689
70,1.6555
71,1.6466
72,1.6226
73,1.6693
74,1.6254
75,1.6522
76,1.6302
77,1.6179
78,1.615
79,1.6394
80,1.6467
81,1.6723
82,1.6278
83,1.5778
84,1.629
85,1.6237
86,1.6312
87,1.5991
88,1.5913
89,1.5945
90,1.5958
91,1.5943
92,1.6075
93,1.6109
94,1.5818
95,1.6637
96,1.6216
97,1.5935
98,1.6264
99,1.5882
100,1.5718
