Epochs,Loss
1,2.0218
2,2.0362
3,1.8589
4,1.9047
5,2.0316
6,1.746
7,1.7635
8,1.3476
9,1.5112
10,1.1074
11,1.4389
12,0.9266
13,1.083
14,0.8517
15,0.9836
16,0.5889
17,0.7323
18,0.8176
19,0.6461
20,0.457
21,0.4952
22,0.6267
23,0.2582
24,0.5652
25,0.4718
26,0.483
27,0.5782
28,0.5153
29,0.6139
30,0.5088
31,0.7209
32,0.3931
33,0.517
34,0.3662
35,0.3376
36,0.3712
37,0.3777
38,0.2135
39,0.3395
40,0.5545
41,0.4012
42,0.2274
43,0.21
44,0.3455
45,0.4319
46,0.32
47,0.3203
48,0.3354
49,0.5364
50,0.2227
51,0.3627
52,0.3849
53,0.3884
54,0.3879
55,0.3252
56,0.424
57,0.2643
58,0.3217
59,0.2383
60,0.2839
61,0.3812
62,0.4358
63,0.4194
64,0.3523
65,0.2781
66,0.333
67,0.2849
68,0.5059
69,0.3821
70,0.2018
71,0.1904
72,0.5507
73,0.2773
74,0.2363
75,0.2165
76,0.4533
77,0.2343
78,0.2599
79,0.1677
80,0.5434
81,0.2322
82,0.4203
83,0.3379
84,0.3116
85,0.3592
86,0.2357
87,0.3038
88,0.2379
89,0.2254
90,0.3384
91,0.3762
92,0.4212
93,0.45
94,0.3686
95,0.4076
96,0.2298
97,0.3086
98,0.3773
99,0.347
100,0.2283
