Epochs,Loss
1,0.5948
2,0.355
3,0.4853
4,0.3283
5,0.2486
6,0.1932
7,0.0516
8,0.0827
9,0.056
10,0.0112
11,0.0033
12,0.0452
13,0.0622
14,0.0114
15,0.0063
16,0.0061
17,0.0446
18,0.0045
19,0.0036
20,0.0363
21,0.0112
22,0.0047
23,0.0047
24,0.0026
25,0.0074
26,0.008
27,0.004
28,0.0354
29,0.005
30,0.0051
31,0.0046
32,0.0017
33,0.0446
34,0.0189
35,0.0025
36,0.0015
37,0.0012
38,0.0013
39,0.0016
40,0.002
41,0.0014
42,0.0058
43,0.0024
44,0.0016
45,0.0021
46,0.0018
47,0.0023
48,0.001
49,0.001
50,0.0008
51,0.0017
52,0.001
53,0.0014
54,0.0016
55,0.0008
56,0.0012
57,0.0012
58,0.001
59,0.0008
60,0.0006
61,0.0006
62,0.0007
63,0.0353
64,0.0008
65,0.0013
66,0.0005
67,0.001
68,0.0006
69,0.0009
70,0.0007
71,0.001
72,0.0005
73,0.0007
74,0.0008
75,0.0005
76,0.0007
77,0.0014
78,0.0007
79,0.0007
80,0.0009
81,0.0006
82,0.0007
83,0.0009
84,0.0007
85,0.0006
86,0.001
87,0.0004
88,0.0004
89,0.001
90,0.0005
91,0.0012
92,0.0004
93,0.0009
94,0.0009
95,0.0002
96,0.0004
97,0.0008
98,0.001
99,0.0006
100,0.0006
101,0.0005
102,0.0006
103,0.0006
104,0.0007
105,0.0002
106,0.0003
107,0.0003
108,0.0007
109,0.0005
110,0.0003
111,0.0007
112,0.0005
113,0.0003
114,0.0005
115,0.0005
116,0.0007
117,0.0005
118,0.0006
119,0.0004
120,0.0003
121,0.0005
122,0.0005
123,0.0004
124,0.0007
125,0.0005
126,0.0005
127,0.0006
128,0.0004
129,0.0005
130,0.0004
131,0.0005
132,0.0008
133,0.0005
134,0.0001
135,0.0003
136,0.0004
137,0.0002
138,0.0004
139,0.0005
140,0.0004
141,0.0004
142,0.0004
143,0.0006
144,0.0004
145,0.0002
146,0.0003
147,0.0003
148,0.0005
149,0.0006
150,0.0004
151,0.0006
152,0.0003
153,0.0003
154,0.0003
155,0.0002
156,0.0006
157,0.0007
158,0.0002
159,0.0003
160,0.0002
161,0.0006
162,0.0004
163,0.0004
164,0.0002
165,0.0003
166,0.0007
167,0.0004
168,0.0004
169,0.0002
170,0.0002
171,0.0003
172,0.0006
173,0.0004
174,0.0004
175,0.0004
176,0.0001
177,0.0003
178,0.0004
179,0.0003
180,0.0004
181,0.0002
182,0.0003
183,0.0002
184,0.0004
185,0.0004
186,0.0004
187,0.0003
188,0.0002
189,0.0004
190,0.0002
191,0.0002
192,0.0003
193,0.0002
194,0.0003
195,0.0002
196,0.0003
197,0.0004
198,0.0004
199,0.0003
200,0.0003
