Epochs,Loss
1,2.6493
2,2.0044
3,2.2514
4,1.8831
5,1.9741
6,1.9975
7,2.0692
8,2.0424
9,1.8086
10,1.9598
11,1.8068
12,1.9091
13,1.8393
14,1.6646
15,1.6818
16,1.9639
17,1.8575
18,1.8342
19,1.981
20,2.071
21,1.969
22,1.9326
23,1.9163
24,1.7369
25,1.7142
26,1.754
27,1.8743
28,1.8954
29,1.7954
30,1.6675
31,1.5574
32,1.5174
33,1.8509
34,1.7666
35,1.5587
36,1.9223
37,1.7784
38,1.7115
39,1.3309
40,1.6344
41,1.5774
42,1.4863
43,1.4536
44,1.4815
45,1.4867
46,1.2287
47,1.6592
48,1.6445
49,1.5926
50,1.5403
51,1.5298
52,1.4361
53,1.6883
54,1.3244
55,1.4269
56,1.4502
57,1.7799
58,1.5835
59,1.578
60,1.4022
61,1.3084
62,1.5425
63,1.1528
64,1.542
65,1.7572
66,1.5139
67,1.6683
68,1.3773
69,1.6324
70,1.3812
71,1.5521
72,1.3991
73,1.2167
74,1.3049
75,1.3317
76,1.4252
77,1.1599
78,1.4302
79,1.1657
80,1.4163
81,1.0942
82,1.2866
83,1.6861
84,1.2672
85,1.4487
86,2.0051
87,1.3855
88,1.5024
89,1.3784
90,1.5487
91,1.5639
92,1.3343
93,1.3882
94,1.2086
95,1.3173
96,1.3335
97,1.1419
98,1.1931
99,1.2505
100,1.4188
101,1.0576
102,1.2965
103,1.1874
104,1.2427
105,1.4003
106,1.1163
107,1.2499
108,1.4308
109,1.1887
110,1.1183
111,1.3157
112,1.2813
113,1.3537
114,1.1927
115,1.4194
116,1.1174
117,1.308
118,1.351
119,1.3743
120,1.4129
121,1.1527
122,1.3315
123,1.3263
124,1.1892
125,1.0985
126,1.0731
127,0.8861
128,1.232
129,1.2004
130,1.2458
131,1.0468
132,1.1095
133,1.3673
134,1.1879
135,1.0718
136,1.1524
137,1.1835
138,1.0883
139,0.9937
140,1.1301
141,1.1385
142,1.225
143,1.3966
144,1.0576
145,1.1071
146,0.8788
147,1.4982
148,1.1116
149,1.2494
150,1.0962
151,0.8511
152,1.3734
153,1.1892
154,1.3396
155,0.9569
156,1.073
157,1.3082
158,1.5047
159,1.1147
160,1.3011
161,0.8693
162,0.9406
163,1.3698
164,0.9399
165,1.2718
166,1.0301
167,1.3753
168,0.9553
169,1.4343
170,0.7351
171,1.1592
172,1.2645
173,1.209
174,0.7358
175,0.9685
176,0.868
177,1.0958
178,0.9963
179,0.935
180,0.9481
181,1.0257
182,1.0844
183,0.7617
184,0.6183
185,0.9394
186,1.0302
187,1.008
188,0.9151
189,1.0399
190,1.2011
191,0.9554
192,1.0272
193,0.6372
194,0.7108
195,1.0816
196,0.7353
197,0.7467
198,0.9879
199,0.6178
200,1.0522
