Epochs,Loss
1,2.0785
2,2.1041
3,1.6976
4,1.6093
5,1.3855
6,1.4668
7,1.3245
8,1.0398
9,1.0191
10,0.611
11,0.9362
12,0.7496
13,0.7707
14,0.5059
15,0.5606
16,0.3685
17,0.1823
18,0.3872
19,0.3616
20,0.3933
21,0.221
22,0.176
23,0.2154
24,0.1862
25,0.3089
26,0.236
27,0.2437
28,0.2708
29,0.2377
30,0.0746
31,0.209
32,0.1176
33,0.2704
34,0.0955
35,0.1274
36,0.1459
37,0.1427
38,0.1371
39,0.1315
40,0.1379
41,0.188
42,0.1896
43,0.0526
44,0.1166
45,0.0399
46,0.1845
47,0.0972
48,0.0962
49,0.073
50,0.0422
51,0.1095
52,0.1356
53,0.1212
54,0.1101
55,0.1825
56,0.1163
57,0.0874
58,0.1744
59,0.1131
60,0.0891
61,0.0993
62,0.071
63,0.1229
64,0.0474
65,0.0929
66,0.0842
67,0.1226
68,0.1182
69,0.037
70,0.0559
71,0.1727
72,0.0374
73,0.073
74,0.0679
75,0.1111
76,0.1034
77,0.0823
78,0.0261
79,0.0398
80,0.0542
81,0.0387
82,0.0251
83,0.0678
84,0.0367
85,0.0595
86,0.0831
87,0.0922
88,0.0444
89,0.0271
90,0.0513
91,0.0187
92,0.0222
93,0.0538
94,0.026
95,0.0835
96,0.0414
97,0.0388
98,0.047
99,0.0294
100,0.0594
