Epochs,Loss
1,2.4858
2,2.1039
3,2.2279
4,2.1711
5,2.0571
6,2.0219
7,1.8065
8,1.8512
9,1.9742
10,1.5942
11,1.5573
12,1.5699
13,1.2873
14,1.4793
15,1.379
16,1.5162
17,1.4982
18,1.1898
19,1.4928
20,1.2219
21,1.3185
22,1.1018
23,0.8017
24,1.1028
25,0.6176
26,0.9487
27,1.1865
28,0.8342
29,0.9261
30,0.5908
31,0.8157
32,0.6207
33,0.6971
34,0.7252
35,0.8649
36,0.598
37,0.7945
38,0.7641
39,0.8389
40,0.4292
41,0.626
42,0.441
43,0.7157
44,0.6502
45,0.6672
46,0.4165
47,0.6202
48,0.6705
49,0.4522
50,0.5012
51,0.7344
52,0.3063
53,0.5314
54,0.62
55,0.5713
56,0.6786
57,0.394
58,0.3146
59,0.4395
60,0.4962
61,0.9067
62,0.3844
63,0.551
64,0.5324
65,0.538
66,0.4714
67,0.499
68,0.5939
69,0.6638
70,0.6222
71,0.3383
72,0.4401
73,0.5889
74,0.3454
75,0.4061
76,0.572
77,0.5486
78,0.3649
79,0.3601
80,0.3045
81,0.2085
82,0.4778
83,0.3518
84,0.2851
85,0.3877
86,0.3263
87,0.321
88,0.3336
89,0.5835
90,0.2691
91,0.2922
92,0.4892
93,0.5383
94,0.3108
95,0.4146
96,0.3702
97,0.3173
98,0.6228
99,0.2584
100,0.3554
