Epochs,Loss
1,0.4032
2,0.3529
3,0.2344
4,0.0582
5,0.1551
6,0.0062
7,0.0074
8,0.0128
9,0.1754
10,0.0141
11,0.0102
12,0.0122
13,0.0082
14,0.0013
15,0.0098
16,0.0054
17,0.0018
18,0.0021
19,0.0005
20,0.0013
21,0.0005
22,0.0011
23,0.0093
24,0.0033
25,0.0004
26,0.0002
27,0.0003
28,0.0002
29,0.0003
30,0.0005
31,0.0002
32,0.0003
33,0.0002
34,0.0001
35,0.0015
36,0.0001
37,0.0001
38,0.0005
39,0.0
40,0.0001
41,0.0001
42,0.0001
43,0.0001
44,0.0001
45,0.0
46,0.0
47,0.0001
48,0.0001
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0001
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0001
59,0.0
60,0.0
61,0.0001
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
