Epochs,Loss
1,1.5501
2,0.7797
3,0.8231
4,0.8187
5,0.7865
6,0.6766
7,0.7834
8,0.8131
9,0.5098
10,0.5104
11,0.6588
12,0.398
13,0.5843
14,0.575
15,0.5057
16,0.5506
17,0.5009
18,0.4869
19,0.5457
20,0.5968
21,0.3504
22,0.4875
23,0.3771
24,0.4839
25,0.1274
26,0.4813
27,0.5912
28,0.5181
29,0.2033
30,0.3113
31,0.1936
32,0.1889
33,0.1902
34,0.2275
35,0.224
36,0.297
37,0.3356
38,0.2583
39,0.2611
40,0.3326
41,0.1853
42,0.3196
43,0.2589
44,0.2218
45,0.331
46,0.3314
47,0.2217
48,0.1475
49,0.2572
50,0.257
51,0.4764
52,0.3299
53,0.1835
54,0.1109
55,0.2566
56,0.2205
57,0.366
58,0.2569
59,0.1103
60,0.2197
61,0.2198
62,0.1833
63,0.3294
64,0.2568
65,0.1116
66,0.1467
67,0.2563
68,0.1466
69,0.2563
70,0.1831
71,0.2563
72,0.3297
73,0.4754
74,0.1829
75,0.3656
76,0.1831
77,0.183
78,0.1464
79,0.256
80,0.183
81,0.2925
82,0.2194
83,0.1099
84,0.4388
85,0.3291
86,0.2926
87,0.1463
88,0.2561
89,0.2194
90,0.1098
91,0.1463
92,0.0732
93,0.2925
94,0.257
95,0.183
96,0.3292
97,0.2559
98,0.1097
99,0.1097
100,0.1097
