Epochs,Loss
1,2.2965
2,2.2921
3,2.2832
4,2.2759
5,2.2761
6,2.2559
7,2.2268
8,2.1904
9,2.1719
10,2.1463
11,2.1284
12,2.1002
13,2.0784
14,2.039
15,2.0403
16,1.9948
17,2.0121
18,1.9862
19,1.9832
20,1.8963
21,1.9178
22,1.9015
23,1.8998
24,1.8535
25,1.8372
26,1.8555
27,1.8462
28,1.7971
29,1.8758
30,1.853
31,1.8161
32,1.812
33,1.8072
34,1.8068
35,1.7735
36,1.8018
37,1.7792
38,1.7542
39,1.7763
40,1.7755
41,1.7536
42,1.7462
43,1.7299
44,1.7383
45,1.7699
46,1.7191
47,1.7262
48,1.7443
49,1.7249
50,1.733
51,1.7045
52,1.6853
53,1.7162
54,1.6772
55,1.7588
56,1.6799
57,1.7005
58,1.6635
59,1.6899
60,1.6633
61,1.6518
62,1.6555
63,1.6887
64,1.674
65,1.642
66,1.6397
67,1.69
68,1.6241
69,1.6647
70,1.6533
71,1.5984
72,1.5935
73,1.6672
74,1.6089
75,1.6206
76,1.6076
77,1.6293
78,1.6166
79,1.6051
80,1.6493
81,1.6203
82,1.557
83,1.5871
84,1.5889
85,1.579
86,1.6397
87,1.608
88,1.5534
89,1.5769
90,1.5722
91,1.5918
92,1.5886
93,1.5884
94,1.6019
95,1.5846
96,1.5874
97,1.5668
98,1.5354
99,1.5745
100,1.5864
