Epochs,Loss
1,1.5746
2,1.2669
3,0.7701
4,0.5405
5,0.6415
6,0.4979
7,0.2437
8,0.2387
9,0.2674
10,0.1605
11,0.1759
12,0.2056
13,0.1656
14,0.1236
15,0.2058
16,0.1299
17,0.0944
18,0.0984
19,0.1067
20,0.0727
21,0.0698
22,0.0194
23,0.1046
24,0.0889
25,0.0253
26,0.0233
27,0.0681
28,0.0329
29,0.0578
30,0.0343
31,0.0451
32,0.0374
33,0.0286
34,0.1915
35,0.0263
36,0.0687
37,0.0069
38,0.0324
39,0.0361
40,0.0195
41,0.011
42,0.0301
43,0.0137
44,0.0094
45,0.008
46,0.006
47,0.0597
48,0.0098
49,0.015
50,0.0438
51,0.0086
52,0.014
53,0.0067
54,0.0143
55,0.0056
56,0.0011
57,0.0026
58,0.0012
59,0.0051
60,0.0026
61,0.0215
62,0.0035
63,0.006
64,0.0034
65,0.0048
66,0.001
67,0.0016
68,0.0013
69,0.0005
70,0.0018
71,0.0006
72,0.0007
73,0.0009
74,0.0012
75,0.0008
76,0.0012
77,0.0006
78,0.0008
79,0.0003
80,0.0004
81,0.0005
82,0.0003
83,0.0003
84,0.0007
85,0.0005
86,0.0003
87,0.0004
88,0.0002
89,0.0002
90,0.0003
91,0.0003
92,0.0004
93,0.0001
94,0.0002
95,0.0001
96,0.0003
97,0.0002
98,0.0
99,0.0002
100,0.0002
