Learning Rate,Activation Function,Loss,Duration,Train Accuracy,Test Accuracy
0.01,ReLU,1.2061,73.45,50.91886485810726,48.5
0.01,Sigmoid,2.0253,101.81,56.60707588448556,54.85
0.01,LeakyReLu-0.01,0.0,83.0,99.98749843730467,96.1
0.01,LeakyReLu-0.05,0.0001,81.05,100.0,95.2
0.01,LeakyReLu-0.1,,84.61,9.963745468183523,9.15
0.01,LeakyReLu-0.5,,82.54,9.963745468183523,9.15
0.01,PreLU,,97.83,9.963745468183523,9.15
0.01,ELU-0.1,1.9006,151.46,30.428803600450056,28.95
0.01,ELU-0.02,0.2565,126.7,89.98624828103513,87.1
0.01,ELU-0.03,0.0001,125.04,99.98749843730467,95.75
0.001,ReLU,1.8277,110.48,31.17889736217027,29.6
0.001,Sigmoid,2.2967,121.98,11.338917364670584,11.4
0.001,LeakyReLu-0.01,0.0019,91.5,99.96249531191398,94.95
0.001,LeakyReLu-0.05,0.0014,96.64,99.94999374921865,94.35
0.001,LeakyReLu-0.1,0.0016,99.67,100.0,94.6
0.001,LeakyReLu-0.5,0.0037,106.27,100.0,93.7
0.001,PreLU,,109.61,9.963745468183523,9.15
0.001,ELU-0.1,0.257,125.1,89.82372796599574,86.25
0.001,ELU-0.02,0.0011,122.18,99.94999374921865,94.95
0.001,ELU-0.03,0.1841,120.96,90.03625453181648,86.35
0.0001,ReLU,0.0125,93.04,99.4249281160145,94.15
0.0001,Sigmoid,2.3038,106.41,11.338917364670584,11.4
0.0001,LeakyReLu-0.01,0.0322,83.28,99.63745468183522,94.0
0.0001,LeakyReLu-0.05,0.0506,98.17,99.54994374296787,93.05
0.0001,LeakyReLu-0.1,0.0232,114.71,99.5249406175772,93.45
0.0001,LeakyReLu-0.5,0.0378,98.29,98.82485310663833,92.65
0.0001,PreLU,,107.97,9.963745468183523,9.15
0.0001,ELU-0.1,0.049,126.76,99.39992499062383,91.95
0.0001,ELU-0.02,0.0283,127.82,99.64995624453057,92.9
0.0001,ELU-0.03,0.0594,122.52,99.47493436679585,92.7
1e-05,ReLU,0.2179,97.96,89.46118264783098,87.35
1e-05,Sigmoid,2.2992,125.38,9.701212651581448,9.9
1e-05,LeakyReLu-0.01,0.3761,95.64,88.68608576072009,85.45
1e-05,LeakyReLu-0.05,0.2893,94.67,89.38617327165896,85.35
1e-05,LeakyReLu-0.1,0.3554,97.36,89.88623577947243,87.6
1e-05,LeakyReLu-0.5,0.3544,98.25,89.76122015251906,87.7
1e-05,PreLU,,107.24,9.963745468183523,9.15
1e-05,ELU-0.1,0.9164,112.73,63.732966620827604,62.4
1e-05,ELU-0.02,0.8019,165.85,77.34716839604951,76.3
1e-05,ELU-0.03,0.3553,130.1,90.9238654831854,88.75
